Group,pid,Name.1,Name.2,Name.3,Response,Key,Released,Response.1,Code,Time,(Trial Variable),Finger,Congruence,Repeated,Correct,double_response,questionnaire_1,questionnaire_2,questionnaire_3,questionnaire_4,questionnaire_5,questionnaire_6,questionnaire_7,questionnaire_8,questionnaire_9,questionnaire_10
Main Group,P8,AI_Block,"AI_Trial, 2","AI_Blue (2, m5basecon.bmp)",middle,b,Released,(based on code value),C,595,,2,1,5,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 4","AI_Blue (4, m5baseinc.bmp)",middle,b,Released,(based on code value),C,760,,2,2,5,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 8","AI_Blue (8, m5inc.bmp)",middle,b,Released,(based on code value),C,900,,2,4,5,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 10","AI_Blue (10, m5base.bmp)",middle,b,Released,(based on code value),C,705,,2,0,5,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 5","AI_Final_Stage (5, i4con.bmp)",index,v,Released,(based on code value),C,552,,1,3,6,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 6","AI_Final_Stage (6, m4con.bmp)",middle,b,Released,(based on code value),C,528,,2,3,6,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 2","AI_Final_Stage (2, m4basecon.bmp)",middle,b,Released,(based on code value),C,492,,2,1,6,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 3","AI_Blue (3, i5baseinc.bmp)",middle,b,Released,(based on code value),E,638,,1,2,6,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 8","AI_Blue (8, m5inc.bmp)",middle,b,Released,(based on code value),C,910,,2,4,6,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 10","AI_Blue (10, m5base.bmp)",middle,b,Released,(based on code value),C,826,,2,0,6,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 1","AI_Final_Stage (1, i4basecon.bmp)",index,v,Released,(based on code value),C,502,,1,1,6,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 9","AI_Blue (9, i5base.bmp)",index,v,Released,(based on code value),C,665,,1,0,6,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 7","AI_Blue (7, i5inc.bmp)",middle,b,Released,(based on code value),E,716,,1,4,6,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 4","AI_Blue (4, m5baseinc.bmp)",middle,b,Released,(based on code value),C,1030,,2,2,6,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 9","AI_Blue (9, i5base.bmp)",index,v,Released,(based on code value),C,718,,1,0,7,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 8","AI_Blue (8, m5inc.bmp)",middle,b,Released,(based on code value),C,751,,2,4,7,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 5","AI_Blue (5, i5con.bmp)",index,v,Released,(based on code value),C,575,,1,3,7,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 1","AI_Blue (1, i5basecon.bmp)",index,v,Released,(based on code value),C,618,,1,1,7,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 7","AI_Blue (7, i5inc.bmp)",index,v,Released,(based on code value),C,1334,,1,4,7,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 4","AI_Blue (4, m5baseinc.bmp)",middle,b,Released,(based on code value),C,959,,2,2,7,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 2","AI_Blue (2, m5basecon.bmp)",middle,b,Released,(based on code value),C,804,,2,1,7,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 6","AI_Blue (6, m5con.bmp)",middle,b,Released,(based on code value),C,618,,2,3,7,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 10","AI_Blue (10, m5base.bmp)",middle,b,Released,(based on code value),C,688,,2,0,7,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 3","AI_Final_Stage (3, i4baseinc.bmp)",index,v,Released,(based on code value),C,516,,1,2,7,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 6","AI_Blue (6, m5con.bmp)",middle,b,Released,(based on code value),C,585,,2,3,8,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 4","AI_Blue (4, m5baseinc.bmp)",middle,b,Released,(based on code value),C,810,,2,2,8,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 5","AI_Final_Stage (5, i4con.bmp)",index,v,Released,(based on code value),C,538,,1,3,8,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 9","AI_Blue (9, i5base.bmp)",index,v,Released,(based on code value),C,677,,1,0,8,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 10","AI_Blue (10, m5base.bmp)",middle,b,Released,(based on code value),C,922,,2,0,8,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 2","AI_Blue (2, m5basecon.bmp)",middle,b,Released,(based on code value),C,695,,2,1,8,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 7","AI_Blue (7, i5inc.bmp)",index,v,Released,(based on code value),C,992,,1,4,8,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 8","AI_Blue (8, m5inc.bmp)",middle,b,Released,(based on code value),C,1109,,2,4,8,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 1","AI_Blue (1, i5basecon.bmp)",index,v,Released,(based on code value),C,722,,1,1,8,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 3","AI_Blue (3, i5baseinc.bmp)",index,v,Released,(based on code value),C,1053,,1,2,8,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 8","AI_Blue (8, m5inc.bmp)",middle,b,Released,(based on code value),C,871,,2,4,9,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 1","AI_Blue (1, i5basecon.bmp)",index,v,Released,(based on code value),C,596,,1,1,9,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 5","AI_Blue (5, i5con.bmp)",index,v,Released,(based on code value),C,695,,1,3,9,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 6","AI_Blue (6, m5con.bmp)",middle,b,Released,(based on code value),C,591,,2,3,9,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 9","AI_Blue (9, i5base.bmp)",index,v,Released,(based on code value),C,635,,1,0,9,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 2","AI_Blue (2, m5basecon.bmp)",middle,b,Released,(based on code value),C,599,,2,1,9,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 7","AI_Blue (7, i5inc.bmp)",index,v,Released,(based on code value),C,1287,,1,4,9,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 4","AI_Blue (4, m5baseinc.bmp)",middle,b,Released,(based on code value),C,973,,2,2,9,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 3","AI_Blue (3, i5baseinc.bmp)",index,v,Released,(based on code value),C,842,,1,2,9,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 10","AI_Blue (10, m5base.bmp)",middle,b,Released,(based on code value),C,627,,2,0,9,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 1","AI_Final_Stage (1, i4basecon.bmp)",index,v,Released,(based on code value),C,539,,1,1,10,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 8","AI_Blue (8, m5inc.bmp)",middle,b,Released,(based on code value),C,858,,2,4,10,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 2","AI_Blue (2, m5basecon.bmp)",middle,b,Released,(based on code value),C,688,,2,1,10,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 5","AI_Blue (5, i5con.bmp)",index,v,Released,(based on code value),C,785,,1,3,10,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 4","AI_Blue (4, m5baseinc.bmp)",middle,b,Released,(based on code value),C,801,,2,2,10,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 3","AI_Blue (3, i5baseinc.bmp)",index,v,Released,(based on code value),C,702,,1,2,10,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 9","AI_Blue (9, i5base.bmp)",index,v,Released,(based on code value),C,669,,1,0,10,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 7","AI_Blue (7, i5inc.bmp)",index,v,Released,(based on code value),C,729,,1,4,10,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 6","AI_Blue (6, m5con.bmp)",middle,b,Released,(based on code value),C,693,,2,3,10,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P8,AI_Block,"AI_Trial, 10","AI_Blue (10, m5base.bmp)",middle,b,Released,(based on code value),C,691,,2,0,10,,0,62,22,74,37,62,32,46,56,43,78
Main Group,P9,AI_Block,"AI_Trial, 9","AI_Final_Stage (9, i4base.bmp)",index,v,Released,(based on code value),C,472,,1,0,1,,0,0,60,95,30,68,29,93,52,55,64
Main Group,P9,AI_Block,"AI_Trial, 5","AI_Final_Stage (5, i4con.bmp)",index,v,Released,(based on code value),C,408,,1,3,1,,0,0,60,95,30,68,29,93,52,55,64
Main Group,P9,AI_Block,"AI_Trial, 8","AI_Final_Stage (8, m4inc.bmp)",middle,b,Released,(based on code value),C,474,,2,4,1,,0,0,60,95,30,68,29,93,52,55,64
Main Group,P9,AI_Block,"AI_Trial, 6","AI_Final_Stage (6, m4con.bmp)",index,v,Released,(based on code value),E,343,,2,3,1,,0,0,60,95,30,68,29,93,52,55,64
Main Group,P9,AI_Block,"AI_Trial, 3","AI_Final_Stage (3, i4baseinc.bmp)",index,v,Released,(based on code value),C,504,,1,2,1,,0,0,60,95,30,68,29,93,52,55,64
Main Group,P9,AI_Block,"AI_Trial, 1","AI_Final_Stage (1, i4basecon.bmp)",index,v,Released,(based on code value),C,373,,1,1,1,,0,0,60,95,30,68,29,93,52,55,64
Main Group,P9,AI_Block,"AI_Trial, 4","AI_Final_Stage (4, m4baseinc.bmp)",middle,b,Released,(based on code value),C,449,,2,2,1,,0,0,60,95,30,68,29,93,52,55,64
Main Group,P9,AI_Block,"AI_Trial, 7","AI_Final_Stage (7, i4inc.bmp)",index,v,Released,(based on code value),C,465,,1,4,1,,0,0,60,95,30,68,29,93,52,55,64
Main Group,P9,AI_Block,"AI_Trial, 10","AI_Final_Stage (10, m4base.bmp)",middle,b,Released,(based on code value),C,342,,2,0,1,,0,0,60,95,30,68,29,93,52,55,64
Main Group,P9,AI_Block,"AI_Trial, 2","AI_Final_Stage (2, m4basecon.bmp)",index,v,Released,(based on code value),E,436,,2,1,1,,0,0,60,95,30,68,29,93,52,55,64
Main Group,P9,AI_Block,"AI_Trial, 10","AI_Final_Stage (10, m4base.bmp)",middle,b,Released,(based on code value),C,481,,2,0,2,,0,0,60,95,30,68,29,93,52,55,64
Main Group,P9,AI_Block,"AI_Trial, 2","AI_Final_Stage (2, m4basecon.bmp)",middle,b,Released,(based on code value),C,482,,2,1,2,,0,0,60,95,30,68,29,93,52,55,64
Main Group,P9,AI_Block,"AI_Trial, 3","AI_Final_Stage (3, i4baseinc.bmp)",index,v,Released,(based on code value),C,457,,1,2,2,,0,0,60,95,30,68,29,93,52,55,64
Main Group,P9,AI_Block,"AI_Trial, 1","AI_Final_Stage (1, i4basecon.bmp)",index,v,Released,(based on code value),C,493,,1,1,2,,0,0,60,95,30,68,29,93,52,55,64
Main Group,P9,AI_Block,"AI_Trial, 7","AI_Final_Stage (7, i4inc.bmp)",index,v,Released,(based on code value),C,391,,1,4,2,,0,0,60,95,30,68,29,93,52,55,64
Main Group,P9,AI_Block,"AI_Trial, 5","AI_Final_Stage (5, i4con.bmp)",index,v,Released,(based on code value),C,398,,1,3,2,,0,0,60,95,30,68,29,93,52,55,64
Main Group,P9,AI_Block,"AI_Trial, 9","AI_Final_Stage (9, i4base.bmp)",index,v,Released,(based on code value),C,495,,1,0,2,,0,0,60,95,30,68,29,93,52,55,64
Main Group,P9,AI_Block,"AI_Trial, 4","AI_Final_Stage (4, m4baseinc.bmp)",index,v,Released,(based on code value),E,376,,2,2,2,,0,0,60,95,30,68,29,93,52,55,64
Main Group,P9,AI_Block,"AI_Trial, 8","AI_Final_Stage (8, m4inc.bmp)",middle,b,Released,(based on code value),C,341,,2,4,2,,0,0,60,95,30,68,29,93,52,55,64
Main Group,P9,AI_Block,"AI_Trial, 6","AI_Final_Stage (6, m4con.bmp)",middle,b,Released,(based on code value),C,299,,2,3,2,,0,0,60,95,30,68,29,93,52,55,64
Main Group,P9,AI_Block,"AI_Trial, 3","AI_Final_Stage (3, i4baseinc.bmp)",index,v,Released,(based on code value),C,363,,1,2,3,,0,0,60,95,30,68,29,93,52,55,64
Main Group,P9,AI_Block,"AI_Trial, 9","AI_Final_Stage (9, i4base.bmp)",index,v,Released,(based on code value),C,434,,1,0,3,,0,0,60,95,30,68,29,93,52,55,64
Main Group,P9,AI_Block,"AI_Trial, 1","AI_Final_Stage (1, i4basecon.bmp)",middle,b,Released,(based on code value),E,292,,1,1,3,,0,0,60,95,30,68,29,93,52,55,64
Main Group,P9,AI_Block,"AI_Trial, 8","AI_Final_Stage (8, m4inc.bmp)",middle,b,Released,(based on code value),C,505,,2,4,3,,0,0,60,95,30,68,29,93,52,55,64
Main Group,P9,AI_Block,"AI_Trial, 2","AI_Final_Stage (2, m4basecon.bmp)",middle,b,Released,(based on code value),C,479,,2,1,3,,0,0,60,95,30,68,29,93,52,55,64
Main Group,P9,AI_Block,"AI_Trial, 5","AI_Final_Stage (5, i4con.bmp)",index,v,Released,(based on code value),C,365,,1,3,3,,0,0,60,95,30,68,29,93,52,55,64
Main Group,P9,AI_Block,"AI_Trial, 4","AI_Final_Stage (4, m4baseinc.bmp)",middle,b,Released,(based on code value),C,490,,2,2,3,,0,0,60,95,30,68,29,93,52,55,64
Main Group,P9,AI_Block,"AI_Trial, 10","AI_Final_Stage (10, m4base.bmp)",middle,b,Released,(based on code value),C,398,,2,0,3,,0,0,60,95,30,68,29,93,52,55,64
Main Group,P9,AI_Block,"AI_Trial, 6","AI_Final_Stage (6, m4con.bmp)",middle,b,Released,(based on code value),C,421,,2,3,3,,0,0,60,95,30,68,29,93,52,55,64
Main Group,P9,AI_Block,"AI_Trial, 7","AI_Final_Stage (7, i4inc.bmp)",middle,b,Released,(based on code value),E,433,,1,4,3,,0,0,60,95,30,68,29,93,52,55,64
Main Group,P9,AI_Block,"AI_Trial, 8","AI_Final_Stage (8, m4inc.bmp)",middle,b,Released,(based on code value),C,422,,2,4,4,,0,0,60,95,30,68,29,93,52,55,64
Main Group,P9,AI_Block,"AI_Trial, 3","AI_Final_Stage (3, i4baseinc.bmp)",index,v,Released,(based on code value),C,540,,1,2,4,,0,0,60,95,30,68,29,93,52,55,64
Main Group,P9,AI_Block,"AI_Trial, 9","AI_Final_Stage (9, i4base.bmp)",index,v,Released,(based on code value),C,430,,1,0,4,,0,0,60,95,30,68,29,93,52,55,64
Main Group,P9,AI_Block,"AI_Trial, 5","AI_Final_Stage (5, i4con.bmp)",index,v,Released,(based on code value),C,428,,1,3,4,,0,0,60,95,30,68,29,93,52,55,64
Main Group,P9,AI_Block,"AI_Trial, 4","AI_Final_Stage (4, m4baseinc.bmp)",middle,b,Released,(based on code value),C,338,,2,2,4,,0,0,60,95,30,68,29,93,52,55,64
Main Group,P9,AI_Block,"AI_Trial, 7","AI_Blue (7, i5inc.bmp)",index,v,Released,(based on code value),C,655,,1,4,4,,0,0,60,95,30,68,29,93,52,55,64
Main Group,P9,AI_Block,"AI_Trial, 10","AI_Final_Stage (10, m4base.bmp)",middle,b,Released,(based on code value),C,523,,2,0,4,,0,0,60,95,30,68,29,93,52,55,64
Main Group,P9,AI_Block,"AI_Trial, 2","AI_Final_Stage (2, m4basecon.bmp)",middle,b,Released,(based on code value),C,433,,2,1,4,,0,0,60,95,30,68,29,93,52,55,64
Main Group,P9,AI_Block,"AI_Trial, 1","AI_Final_Stage (1, i4basecon.bmp)",index,v,Released,(based on code value),C,457,,1,1,4,,0,0,60,95,30,68,29,93,52,55,64
Main Group,P9,AI_Block,"AI_Trial, 6","AI_Final_Stage (6, m4con.bmp)",middle,b,Released,(based on code value),C,481,,2,3,4,,0,0,60,95,30,68,29,93,52,55,64
Main Group,P9,AI_Block,"AI_Trial, 7","AI_Final_Stage (7, i4inc.bmp)",index,v,Released,(based on code value),C,472,,1,4,5,,0,0,60,95,30,68,29,93,52,55,64
Main Group,P9,AI_Block,"AI_Trial, 4","AI_Final_Stage (4, m4baseinc.bmp)",middle,b,Released,(based on code value),C,507,,2,2,5,,0,0,60,95,30,68,29,93,52,55,64
Main Group,P9,AI_Block,"AI_Trial, 6","AI_Final_Stage (6, m4con.bmp)",middle,b,Released,(based on code value),C,411,,2,3,5,,0,0,60,95,30,68,29,93,52,55,64
Main Group,P9,AI_Block,"AI_Trial, 1","AI_Final_Stage (1, i4basecon.bmp)",index,v,Released,(based on code value),C,454,,1,1,5,,0,0,60,95,30,68,29,93,52,55,64
Main Group,P9,AI_Block,"AI_Trial, 5","AI_Final_Stage (5, i4con.bmp)",index,v,Released,(based on code value),C,421,,1,3,5,,0,0,60,95,30,68,29,93,52,55,64
Main Group,P9,AI_Block,"AI_Trial, 10","AI_Final_Stage (10, m4base.bmp)",middle,b,Released,(based on code value),C,409,,2,0,5,,0,0,60,95,30,68,29,93,52,55,64
